pitch,start,end,tonalTechnique,articulation,stringId,position,finger
63,29.813636,29.861364,,spiccato,1,1,1
64,29.906818,29.959091,,spiccato,1,1,1
67,30.011364,30.059091,,spiccato,1,1,3
71,30.1,30.156818,,spiccato,2,1,1
76,30.209091,30.25,,spiccato,3,1,0
76,30.302273,30.354545,,spiccato,3,1,0
71,30.4,30.452273,,spiccato,2,1,1
67,30.5,30.545455,,spiccato,1,1,3
64,30.593182,30.645455,,spiccato,1,1,1
59,30.697727,30.75,,spiccato,0,1,2
66,30.802273,30.840909,,spiccato,1,1,2
75,30.893182,30.934091,,spiccato,2,1,3
83,30.981818,31.027273,,spiccato,3,3,2
83,31.075,31.131818,,spiccato,3,3,2
75,31.179545,31.236364,,spiccato,2,1,3
66,31.288636,31.336364,,spiccato,1,1,2
59,31.381818,31.434091,,spiccato,0,1,2
64,31.486364,31.543182,,spiccato,1,1,1
67,31.595455,31.647727,,spiccato,1,1,3
71,31.695455,31.740909,,spiccato,2,1,1
76,31.788636,31.829545,,spiccato,3,1,0
76,31.875,31.934091,,spiccato,3,1,0
71,31.986364,32.031818,,spiccato,2,1,1
67,32.072727,32.118182,,spiccato,1,1,3
64,32.170455,32.234091,,spiccato,1,1,1
63,32.286364,32.345455,,spiccato,1,1,1
66,32.390909,32.443182,,spiccato,1,1,2
71,32.490909,32.543182,,spiccato,2,1,1
78,32.588636,32.647727,,spiccato,3,1,1
78,32.7,32.763636,,spiccato,3,1,1
71,32.815909,32.861364,,spiccato,2,1,1
66,32.913636,32.961364,,spiccato,1,1,2
63,33.013636,33.059091,,spiccato,1,1,1
64,33.106818,33.152273,,spiccato,1,1,1
67,33.193182,33.238636,,spiccato,1,1,3
71,33.279545,33.338636,,spiccato,2,1,1
76,33.390909,33.436364,,spiccato,3,1,0
76,33.488636,33.536364,,spiccato,3,1,0
71,33.588636,33.640909,,spiccato,2,1,1
67,33.686364,33.738636,,spiccato,1,1,3
64,33.784091,33.836364,,spiccato,1,1,1
59,33.884091,33.936364,,spiccato,0,1,2
66,33.988636,34.034091,,spiccato,1,1,2
75,34.081818,34.127273,,spiccato,2,1,3
83,34.179545,34.213636,,spiccato,3,3,2
83,34.265909,34.318182,,spiccato,3,3,2
75,34.365909,34.418182,,spiccato,2,1,3
66,34.463636,34.511364,,spiccato,1,1,2
59,34.556818,34.615909,,spiccato,0,1,2
59,34.672727,34.725,,spiccato,0,1,2
66,34.777273,34.818182,,spiccato,1,1,2
74,34.870455,34.911364,,spiccato,2,1,3
